,words,count
1836,tech,36
1837,double,36
1838,miss,36
1839,ahead,36
1840,ordering,36
1841,se,36
1842,law,36
1843,manual,36
1844,outlook,36
1845,equipment,36
1846,leslie,36
1847,reeves,36
1848,org,36
1849,tools,36
1850,detail,36
1851,cold,36
1852,tina,36
1853,pull,36
1854,dates,36
1855,adjustments,36
1856,contained,36
1857,owe,36
1858,deciding,36
1859,charles,36
1860,sendyour,36
1861,offersin,36
1862,patti,36
1863,listbot,36
1864,pictures,35
1865,river,35
1866,successful,35
1867,kathryn,35
1868,holiday,35
1869,advisor,35
1870,pool,35
1871,bryce,35
1872,screen,35
1873,otc,35
1874,brent,35
1875,auto,35
1876,region,35
1877,foot,35
1878,links,35
1879,mo,35
1880,contain,35
1881,adjusted,35
1882,yvette,35
1883,post,35
1884,dial,35
1885,pressure,35
1886,detailed,35
1887,indicated,35
1888,sites,35
1889,female,35
1890,makes,35
1891,mcmills,35
1892,cook,35
1893,saw,35
1894,edit,35
1895,ferc,35
1896,forexport,35
1897,meredith,35
1898,crosstex,35
1899,particular,34
1900,allocations,34
1901,meetings,34
1902,unable,34
1903,search,34
1904,designed,34
1905,adjust,34
1906,measurement,34
1907,art,34
1908,corrected,34
1909,kids,34
1910,benefits,34
1911,seems,34
1912,tv,34
1913,husband,34
1914,grow,34
1915,decision,34
1916,wireless,34
1917,interview,34
1918,conference,34
1919,levels,34
1920,shown,34
1921,cindy,34
1922,payroll,34
1923,consumers,34
1924,managing,34
1925,town,34
1926,reliable,34
1927,coast,34
1928,ifyou,34
1929,vicodin,33
1930,environment,33
1931,intend,33
1932,usd,33
1933,areas,33
1934,drug,33
1935,liquids,33
1936,significant,33
1937,pager,33
1938,mailings,33
1939,avails,33
1940,spencer,33
1941,rock,33
1942,charset,33
1943,verdana,33
1944,flynn,33
1945,fully,33
1946,da,33
1947,personnel,33
1948,multi,33
1949,davis,33
1950,fix,33
1951,closed,33
1952,vice,33
1953,administration,33
1954,knowledge,33
1955,urgent,33
1956,gmt,33
1957,regular,33
1958,midstream,33
1959,eye,33
1960,speckels,33
1961,cilco,33
1962,managers,33
1963,tr,33
1964,indicating,33
1965,parent,33
1966,preparation,33
1967,pi,33
1968,tri,33
1969,mmbtus,33
1970,timing,33
1971,happening,33
1972,lottery,33
1973,atleast,33
1974,killing,33
1975,acquire,33
1976,mack,33
1977,thismail,33
1978,citibank,33
1979,pcx,33
1980,fares,33
1981,internationa,33
1982,notification,32
1983,identify,32
1984,separate,32
1985,unless,32
1986,producers,32
1987,allows,32
1988,pretty,32
1989,waste,32
1990,outages,32
1991,ce,32
1992,joanie,32
1993,pp,32
1994,drop,32
1995,premium,32
1996,addressed,32
1997,dolphin,32
1998,teams,32
1999,choice,32
